s_cpu,s_mem,s_node_frag,s_active,s_lbf_c,s_lbf_m,b_cpu_avg,b_mem_avg,w_pod,w_cpu,w_mem,w_pow,r_pow,r_node_frag,r_paper_frag,r_unsched,r_active,r_lbf_c,r_lbf_m
0.8003,0.8671,0.1598,30,0.2596,0.1567,1.0548,4.9968,0.3858,0.447,0.1125,0.0546,8425.02,0.15975,0.031684,0.1983,30,0.2596,0.1567
0.0,0.0,1.0,0,0,0,0.9564,4.8686,0.2461,0.2686,0.1224,0.3628,1926.76,0.633643,0.0,0.0,20,1.0138,0.9294
0.3414,0.383,0.6336,20,1.0138,0.9294,0.9638,4.9678,0.3393,0.0917,0.2314,0.3375,5501.1,0.508968,0.0,0.0,28,0.7605,0.7071
0.4526,0.5156,0.509,28,0.7605,0.7071,0.9342,5.1368,0.1605,0.3252,0.1109,0.4033,6964.01,0.408256,0.0,0.0,30,0.6688,0.6189
0.5404,0.6247,0.4083,30,0.6688,0.6189,0.999,5.0488,0.1216,0.347,0.2216,0.3098,7326.56,0.360736,0.0,0.0,30,0.5657,0.5244
0.5852,0.6737,0.3607,30,0.5657,0.5244,0.9482,5.0484,0.2431,0.3341,0.1739,0.2489,7744.73,0.320681,0.0,0.0,30,0.4616,0.4143
0.6229,0.7141,0.3207,30,0.4616,0.4143,0.985,5.1063,0.2545,0.298,0.2841,0.1635,7883.69,0.277389,0.0,0.0,30,0.4305,0.3713
0.6654,0.7576,0.2774,30,0.4305,0.3713,1.0498,4.9631,0.1568,0.3358,0.1899,0.3176,7985.39,0.241649,0.0,0.0,30,0.3933,0.3112
0.7129,0.7932,0.2416,30,0.3933,0.3112,1.0256,5.0223,0.0252,0.0832,0.869,0.0225,8112.37,0.201941,0.0,0.0,30,0.3544,0.2564
0.7523,0.8336,0.2019,30,0.3544,0.2564,0.984,4.9331,0.4103,0.1684,0.1129,0.3085,8364.8,0.162293,0.0,0.0,30,0.2731,0.15
0.7833,0.8751,0.1623,30,0.2731,0.15,0.9752,5.0301,0.1269,0.1231,0.3566,0.3934,8418.6,0.136097,0.002994,0.022,30,0.2503,0.1207
