s_cpu,s_mem,s_frag,w_pod,w_cpu,w_mem,w_pow,r_frag,r_unsched,r_pow,r_lbf_c,r_lbf_m
0.8398947368421054,0.9040455483490566,0.032981929739237734,0.2243,0.1469,0.1911,0.4377,0.043025378146799645,0.2630769230769231,8402.365372943577,0.3293113986928627,0.1519508711785921
0.0,0.0,0.0,0.2834,0.1112,0.3587,0.2467,0.0,0.0,1942.6957263337745,0.9802898268911339,0.9018909345126093
0.08926315789473686,0.09696639150943397,0.0,0.2523,0.1386,0.3024,0.3067,0.0,0.0,2859.709352103841,0.8057101097204881,0.7287002619903622
0.17501754385964913,0.19063310731132074,0.0,0.2208,0.1306,0.1992,0.4494,0.0,0.0,7069.100628327445,0.6637616700623756,0.6066306142643973
0.26735087719298245,0.28584463443396224,0.0,0.3042,0.2144,0.2364,0.2451,0.0,0.0,7537.304251136312,0.540509941016175,0.48850656249831415
0.3536315789473683,0.37849756780660376,0.0,0.2077,0.0541,0.4885,0.2497,0.0,0.0,7776.937199430781,0.45864104662839467,0.4115320069227376
0.4422631578947367,0.47116892688679246,0.0,0.3414,0.3276,0.1807,0.1503,0.0,0.0,7892.706622514098,0.42942889083114416,0.358066079060929
0.5318947368421053,0.5619405955188679,0.0,0.07,0.3569,0.2516,0.3215,0.0,0.0,8050.749101464775,0.39255279047547426,0.2971476979640704
0.6196140350877196,0.656353920990566,0.0,0.2027,0.443,0.1584,0.1959,0.0,0.0,8206.528457449007,0.35010089188189536,0.23794521003119934
0.709263157894737,0.7484430277122641,0.0,0.3846,0.1759,0.171,0.2686,0.0,0.0,8382.297657856934,0.2861814483759393,0.17369236096374654
0.8017368421052635,0.8446001621462265,0.0,0.244,0.4714,0.1077,0.1769,0.006989025719521749,0.046,8422.101709457655,0.2709152125037896,0.1361090313110129
0.8507368421052635,0.8963310731132076,0.006989025719521749,0.185,0.206,0.3939,0.2151,0.020165963538541016,0.13272727272727272,8422.101709457655,0.2709152125037896,0.1361090313110129
0.8507368421052635,0.8963310731132076,0.020165963538541016,0.2176,0.3912,0.0778,0.3134,0.031146745054390402,0.205,8422.101709457655,0.2709152125037896,0.1361090313110129
0.8507368421052635,0.8963310731132076,0.031146745054390402,0.2289,0.2029,0.2629,0.3053,0.04043817556780142,0.26615384615384613,8422.101709457655,0.2709152125037896,0.1361090313110129
0.0,0.0,0.0,0.3116,0.3844,0.1002,0.2039,0.0,0.0,1934.8771472998224,1.021282891837326,0.8944469835327409
0.08507017543859649,0.09500442216981132,0.0,0.3321,0.4783,0.1206,0.0689,0.0,0.0,2103.4415542791166,0.8265392489573002,0.7341511685710758
0.16835087719298245,0.18882259728773584,0.0,0.0983,0.4471,0.3974,0.0572,0.0,0.0,7016.114084162162,0.68211345962912,0.6164390610091333
0.2560350877192983,0.28194354363207547,0.0,0.264,0.1765,0.1917,0.3677,0.0,0.0,7500.268054361132,0.5576552741128838,0.4943956360675084
0.3413684210526316,0.3759824587264151,0.0,0.3165,0.1632,0.2451,0.2752,0.0,0.0,7744.550449049199,0.4745128585436302,0.4175703440310603
0.428719298245614,0.4706006780660377,0.0,0.0917,0.2933,0.3051,0.3098,0.0,0.0,7859.218404788975,0.44643609908884624,0.3696007749545285
0.5148771929824562,0.5630288178066037,0.0,0.19,0.2329,0.2625,0.3146,0.0,0.0,8011.835277841692,0.4119840934904628,0.30597377451294894
0.6014912280701756,0.6581541126179246,0.0,0.3939,0.1237,0.357,0.1253,0.0,0.0,8195.126983708247,0.36547331142504624,0.2387960264482658
0.6888947368421053,0.7512065153301887,0.0,0.1067,0.4666,0.1915,0.2352,0.0,0.0,8334.75225140232,0.3164871992550501,0.17781711338028097
0.7760877192982456,0.8448780218160378,0.0,0.3213,0.1328,0.2647,0.2812,0.005164455928443516,0.032,8413.798309137344,0.29116073053309205,0.14631061720039684
0.8324385964912281,0.9066074587264151,0.005164455928443516,0.0724,0.2141,0.3237,0.3898,0.019366709731663188,0.12,8413.798309137344,0.29116073053309205,0.14631061720039684
0.8324385964912281,0.9066074587264151,0.019366709731663188,0.3558,0.1085,0.2307,0.305,0.031201921234346244,0.19333333333333333,8413.798309137344,0.29116073053309205,0.14631061720039684
0.8324385964912281,0.9066074587264151,0.031201921234346244,0.095,0.2046,0.4187,0.2817,0.04121633096738576,0.2553846153846154,8413.798309137344,0.29116073053309205,0.14631061720039684
0.0,0.0,0.0,0.3005,0.1579,0.2019,0.3397,0.0,0.0,1941.7406451016132,0.9920627714649385,0.9069695143180215
0.08492982456140352,0.09209205483490567,0.0,0.0896,0.0869,0.6478,0.1757,0.0,0.0,2466.8272967572607,0.8155494292036992,0.7438043901587267
0.17531578947368417,0.18828161851415096,0.0,0.2812,0.1303,0.3291,0.2594,0.0,0.0,7042.283923771895,0.6747726798861712,0.6179594262142128
0.25894736842105265,0.2849981574292453,0.0,0.3145,0.3321,0.1087,0.2447,0.0,0.0,7517.298538350229,0.549590265372395,0.4949210247761117
